communityID,communityName
community24,"Anime Fans"
community6,"Artists Workshop"
community26,"Board Game Enthusiasts"
community4,"Book Club"
community15,"Coding Corner"
community29,"Culinary Delights"
community39,"Digital Nomads Hub"
community18,"DIY Crafts"
community36,"Educators Network"
community11,"Entrepreneurial Minds"
community17,"Environmental Advocates"
community10,Fashionistas
community38,"Fitness Challenges"
community13,"Fitness Freaks"
community27,"Futuristic Fashion"
community9,"Gaming Galaxy"
community31,"Graphic Design Gurus"
community35,"Green Living"
community3,"Healthy Living"
community20,"Language Learners"
community19,"Mental Health Support"
community40,"Mindful Living"
community14,"Movie Buffs"
community8,"Music Vibes"
community23,"Outdoor Adventures"
community21,"Parenting Hub"
community16,"Pet Lovers"
community2,"Photography Lovers"
community7,"Science Buffs"
community30,"Science Fiction Fanatics"
community25,"Self-Development Journey"
community37,"Tech for Education"
community33,"Tech for Good"
community22,"Tech Innovators"
community5,"Travel Enthusiasts"
community34,"Vintage Collectors"
community28,"Virtual Reality Explorers"
community32,"Wellness Warriors"
